topic,label,size,share_%,keywords
0,mueller · fbi · doj,634,14.92,"mueller, fbi, doj, fisa, fired, rr, senate, sessions"
1,patriots · patriot · god,342,8.05,"patriots, patriot, god, united, bless, god bless, stand, men"
2,divided · fake · fake news,314,7.39,"divided, fake, fake news, media, attacks, narrative, controlled, antifa"
6,sa · bank · central bank,148,3.48,"sa, bank, central bank, money, relevant, central, wonderland, funds"
4,coincidences · believe coincidences · believe,134,3.15,"coincidences, believe coincidences, believe, coincidences believe, 2018 04, com, 04, com 2018"
3,twitter · tweet · ss,123,2.9,"twitter, tweet, ss, potus tweet, action, potus, tweets, potus twitter"
5,map · unlocks · news unlocks,123,2.9,"map, unlocks, news unlocks, future proves, proves past, proves, unlocks map, past"
7,anons · anon · impressive,103,2.42,"anons, anon, impressive, anons knew, knowledge power, thank anon, feel proud, knew"
8,covid · covid 19 · 19,96,2.26,"covid, covid 19, 19, virus, lockdown, virus election, death, mail"
10,conf · yes · aw,91,2.14,"conf, yes, aw, castle, freedom, stand freedom, ex, 27"
13,11 11 · sept · knowingly knowingly,83,1.95,"11 11, sept, knowingly knowingly, knowingly, 00, 11, review, pb"
9,snowden · china · barlow,80,1.88,"snowden, china, barlow, russia, truth power, travel, es, elec"
11,test test · test · loop,78,1.84,"test test, test, loop, graphic, open source, points, corner, pls"
12,nk · iran · deal,75,1.77,"nk, iran, deal, eu, nuclear, iran deal, bank, covered"
26,carefully · listen · listen carefully,72,1.69,"carefully, listen, listen carefully, read carefully, pen, follow pen, expand thinking, expand"
17,hussein · did hussein · isis,71,1.67,"hussein, did hussein, isis, language, jb, visitor, private, russian"
31,fun · people stupid · stupid,71,1.67,"fun, people stupid, stupid, sick, people sick, maxine, stupid people, dark secrets"
38,truth people · tell public · public truth,69,1.62,"truth people, tell public, public truth, tell, change, people truth, truth, choice know"
15,black · party · welcome party,68,1.6,"black, party, welcome party, black pop, party leader, time witnessed, welcome, racists"
23,warfare · information warfare · information,67,1.58,"warfare, information warfare, information, mission, guy, battlefield, midnight, pilot"
20,happening · pattern · near,66,1.55,"happening, pattern, near, circle, 53, clinton connection, mika brzezinski, headlines"
21,coincidence · interesting · isn,64,1.51,"coincidence, interesting, isn, freedom caucus, caucus, random, amazing coincidence, coincidence coincidence"
28,drop · drops · tuned,62,1.46,"drop, drops, tuned, stay tuned, jack, follow family, big drop, sleep"
43,unknown · game · shall play,60,1.41,"unknown, game, shall play, play game, week remember, ng, usss, 37"
19,voter · id · voter id,56,1.32,"voter, id, voter id, immigrants, vote, ballots, votes, blank"
22,board · ip · compromised,55,1.29,"board, ip, compromised, cm, site, verify, ga, sniffer"
33,panic dc · panic · dc,54,1.27,"panic dc, panic, dc, best come, talking, panic panic, awake greatest, greatest fear"
34,silent war · war continues · stop coming,54,1.27,"silent war, war continues, stop coming, continues, silent, possibly imagine, war, possibly"
30,enjoy · vip patriot · vip,52,1.22,"enjoy, vip patriot, vip, wonderful, patriot, pain, wonderful day, row"
14,armor god · armor · lord,51,1.2,"armor god, armor, lord, spirit, evil, spiritual, god, lord mighty"
24,error · spelling · disregard,51,1.2,"error, spelling, disregard, mistake, corrected, correction, night, drives"
27,trip · update · trip update,51,1.2,"trip, update, trip update, trip code, standard, backup, multiple, devices"
25,worth remembering · remembering · worth,49,1.15,"worth remembering, remembering, worth, important remember, remember, insurgents, forget, specific reason"
32,vigilant · watching · world watching,49,1.15,"vigilant, watching, world watching, proof, truth right, stay, enemy people, evidence"
35,confirmed · happy · happy hunting,49,1.15,"confirmed, happy, happy hunting, hunting, shooter, signatures, graphic, happenings"
37,sec test · test · sat,48,1.13,"sec test, test, sat, sec, device, hold, good movie, relay"
42,epstein · rc · island,47,1.11,"epstein, rc, island, closed, does bird, bird, symbolism downfall, puppet masters"
41,dark light · light · hot,46,1.08,"dark light, light, hot, light dark, dark, taught trust, taught, offline"
18,wwg1wga wwg1wga · wwg1wga · wrwy,45,1.06,"wwg1wga wwg1wga, wwg1wga, wrwy, god wins, know real, corrupt dc, painted, free wwg1wga"
45,fb · darpa · lifelog,45,1.06,"fb, darpa, lifelog, chandler, users, tracking, exact, messages"
-1,noise / outliers,44,1.04,"explore, flyrothsfly, checkmate, club, funny, music"
16,wwg1wga wwg1wga · wwg1wga · spaces,43,1.01,"wwg1wga wwg1wga, wwg1wga, spaces, match, written, defendants, visible, bound"
29,treason · personnel · goodbye mr,42,0.99,"treason, personnel, goodbye mr, betrays, person deserts, deserts, traitor, mr rosenstein"
46,ha · weekend · schedule,42,0.99,"ha, weekend, schedule, week, suicide, warned, ahead, look familiar"
39,boom · boom boom · youtube com,41,0.97,"boom, boom boom, youtube com, com watch, big, youtube, en, did catch"
47,thank visiting · visiting wh · god bless,37,0.87,"thank visiting, visiting wh, god bless, bless, dopey, thank god, thank, pawn"
36,decide · awakening · great awakening,36,0.85,"decide, awakening, great awakening, great, enlightenment, beliefs, thought, mass pop"
44,dead · roger · yes,35,0.82,"dead, roger, yes, sound familiar, sound, familiar, correct, watch ca"
40,love country · love · endless,32,0.75,"love country, love, endless, country, flag, united fight, oppression, certainly"
