anchor_run,topic,label,size,persistence,verdict,keywords
MiniLM-L6_mcs25,7,wwg1wga wwg1wga · wwg1wga · wwg1wga people,40,0.753,stable,"wwg1wga wwg1wga, wwg1wga, wwg1wga people, people wwg1wga, week coincidence, ghwb, usss code, demonstrate resolve"
MiniLM-L6_mcs25,8,wwg1wga wwg1wga · wwg1wga · wwg1wga god,39,0.747,stable,"wwg1wga wwg1wga, wwg1wga, wwg1wga god, enjoyed, ben, unitednotdivided wwg1wga, unitednotdivided, attention deck"
MiniLM-L6_mcs25,12,vip · vip patriot · patriot,34,0.504,stable,"vip, vip patriot, patriot, enjoy, eyes, 55, patriots, patriots eyes"
MiniLM-L6_mcs25,14,worth remembering · remembering · worth,34,0.504,stable,"worth remembering, remembering, worth, remember, week remember, remember important, forget, important remember"
MiniLM-L6_mcs25,3,believe coincidences · coincidences · believe,85,0.499,borderline,"believe coincidences, coincidences, believe, coincidence, coincidences think, mathematically impossible, mathematically, coincidences coincidences"
MiniLM-L6_mcs25,6,error · disregard · spelling,43,0.494,borderline,"error, disregard, spelling, password, click, mistake, mistakes, visit"
MiniLM-L6_mcs25,16,truth · truth people · tell public,33,0.489,borderline,"truth, truth people, tell public, public truth, people change, people truth, tell, truth right"
MiniLM-L6_mcs25,17,trip · update · trip code,32,0.489,borderline,"trip, update, trip code, compromised, board compromised, code, verify, enter trip"
MiniLM-L6_mcs25,5,anons · anon · impressive,66,0.471,borderline,"anons, anon, impressive, anons knew, knew, pb, thank anon, anons know"
MiniLM-L6_mcs25,4,map · news unlocks · unlocks,71,0.464,borderline,"map, news unlocks, unlocks, proves past, future proves, proves, future, unlocks map"
MiniLM-L6_mcs25,13,game · shall play · king,34,0.461,borderline,"game, shall play, king, play game, reconcile, play, shall, chess"
MiniLM-L6_mcs25,2,patriots · god · united,266,0.457,borderline,"patriots, god, united, patriot, bless, god bless, stand, america"
MiniLM-L6_mcs25,9,armor · armor god · evil,37,0.45,borderline,"armor, armor god, evil, lord, spirit, stand, god, spiritual"
MiniLM-L6_mcs25,15,coincidence · coincidence coincidence · amazing coincidence,33,0.445,borderline,"coincidence, coincidence coincidence, amazing coincidence, coincidence amazing, amazing, cs, cfr, coincidence people"
MiniLM-L6_mcs25,11,normal · people stupid · stupid,35,0.385,borderline,"normal, people stupid, stupid, stupid people, ask normal, enjoy, people sick, sick"
MiniLM-L6_mcs25,10,yes · aw · freedom,37,0.347,borderline,"yes, aw, freedom, ex, stand freedom, 271, conf, ok"
MiniLM-L6_mcs25,0,potus · did · does,1813,0.318,borderline,"potus, did, does, public, fbi, control, narrative, news"
MiniLM-L6_mcs25,1,boom · boom boom · big,404,0.233,fragile,"boom, boom boom, big, qa, knowingly knowingly, knowingly, week, 000"
MiniLM-L6_mcs25,18,comms · board created · board,28,0.232,fragile,"comms, board created, board, cm, new board, return publicly, devices, site"
